season,player,link,tm,mp
1995,Greg Dreiling,/players/d/dreilgr01.html,CLE,481.40000000000003
1995,Clyde Drexler*,NA,POR,1426.8
1995,Clyde Drexler*,NA,HOU,1298.5
1995,Kevin Duckworth,/players/d/duckwke01.html,WSB,820
1995,Chris Dudley,/players/d/dudlech02.html,POR,2246.7999999999997
1995,Joe Dumars*,NA,DET,2546
1995,Richard Dumas,/players/d/dumasri02.html,PHO,166.5
1995,Tony Dumas,/players/d/dumasto01.html,DAL,614.8
1995,Pat Durham,/players/d/durhapa01.html,MIN,849.6
1995,Ledell Eackles,/players/e/eacklle01.html,MIA,896.4000000000001
1995,Acie Earl,/players/e/earlac01.html,BOS,207
1995,Blue Edwards,/players/e/edwarbl01.html,BOS,508.4
1995,Blue Edwards,/players/e/edwarbl01.html,UTA,604.8000000000001
1995,Doug Edwards,/players/e/edwardo01.html,ATL,212.79999999999998
1995,James Edwards,/players/e/edwarja01.html,POR,266
1995,Kevin Edwards,/players/e/edwarke01.html,NJN,466.19999999999993
1995,Craig Ehlo,/players/e/ehlocr01.html,ATL,1166.2
1995,Howard Eisley,/players/e/eisleho01.html,MIN,496.4
1995,Howard Eisley,/players/e/eisleho01.html,SAS,55.5
1995,Mario Elie,/players/e/eliema01.html,HOU,1895.3999999999999
1995,Sean Elliott,/players/e/elliose01.html,SAS,2859.2999999999997
1995,Dale Ellis,/players/e/ellisda01.html,DEN,1992.6000000000001
1995,Harold Ellis,/players/e/ellisha01.html,LAC,655.5
1995,LaPhonso Ellis,/players/e/ellisla01.html,DEN,58.199999999999996
1995,Pervis Ellison,/players/e/ellispe01.html,BOS,1083.5
1995,Jo Jo English,/players/e/englijo01.html,CHI,127.2
1995,Patrick Ewing*,NA,NYK,2923
1995,Duane Ferrell,/players/f/ferredu01.html,IND,604.8000000000001
1995,Danny Ferry,/players/f/ferryda01.html,CLE,1287.3999999999999
1995,Matt Fish,/players/f/fishma01.html,LAC,369.2
1995,Vern Fleming,/players/f/flemive01.html,IND,687.5
1995,Sleepy Floyd,/players/f/floydsl01.html,NJN,830.4000000000001
1995,Alphonso Ford,/players/f/fordal01.html,PHI,98
1995,Greg Foster,/players/f/fostegr01.html,CHI,299.20000000000005
1995,Greg Foster,/players/f/fostegr01.html,MIN,847.9
1995,Rick Fox,/players/f/foxri01.html,BOS,1038.8000000000002
1995,Corey Gaines,/players/g/gaineco01.html,PHI,280.5
1995,Kevin Gamble,/players/g/gamblke01.html,MIA,1224.3
1995,Winston Garland,/players/g/garlawi01.html,MIN,1934.5
1995,Chris Gatling,/players/g/gatlich01.html,GSW,1467.4
1995,Kenny Gattison,/players/g/gattike01.html,CHH,409.5
1995,Matt Geiger,/players/g/geigema01.html,MIA,1709.4
1995,Tate George,/players/g/georgta01.html,MIL,8.100000000000001
1995,Kendall Gill,/players/g/gillke01.html,SEA,2124.3
1995,Armen Gilliam,/players/g/gilliar01.html,NJN,2468.2000000000003
1995,Greg Graham,/players/g/grahagr01.html,PHI,775
1995,Ron Grandison,/players/g/grandro01.html,NYK,8
1995,Brian Grant,/players/g/grantbr01.html,SAC,2288
1995,Gary Grant,/players/g/grantga01.html,LAC,468.59999999999997
1995,Greg Grant,/players/g/grantgr01.html,DEN,151.20000000000002
1995,Harvey Grant,/players/g/grantha01.html,POR,1770
1995,Horace Grant,/players/g/grantho01.html,ORL,2693.6
1995,Jeff Grayer,/players/g/grayeje01.html,PHI,1099.8
1995,A.C. Green,/players/g/greenac01.html,PHO,2689.6
1995,Tom Gugliotta,/players/g/guglito01.html,WSB,226.20000000000002
1995,Tom Gugliotta,/players/g/guglito01.html,GSW,1324
1995,Tom Gugliotta,/players/g/guglito01.html,MIN,1016.8
1995,Andrés Guibert,/players/g/guibean01.html,MIN,166.60000000000002
1995,Jack Haley,/players/h/haleyja01.html,SAS,117.8
1995,Geert Hammink,/players/h/hammige01.html,ORL,7
